lon,lat,code_postal,ville,departement,nom_structure,adresse,url_lieu,source,url_illustration,code_access,code_label,code_accomp
3.152649,46.989419,58000,NEVERS,58,Conseil départemental de la Nièvre - Service d'accompagnement au numérique,14 bis rue Jeanne d'Arc,,,,,,
3.156936,46.994691,58000,NEVERS,58,CPAM Nevers,50 Rue Paul Vaillant Couturier,,Nièvre médiation numérique,,,,
3.159287,46.989411,58000,NEVERS,58,ilab Nièvre Numérique,,,,,,,
3.18934,46.980418,58000,NEVERS,58,Kiosque numérique de Nevers,Kiosque numérique de Nevers ,,,,,,
3.128253,46.986118,58000,NEVERS,58,La Boussole MILO,5 Rue de la Louée,,Nièvre médiation numérique,,,,
3.186523,46.983703,58000,NEVERS,58,Le Prado Association Pagode,1 Rue de la Passière,,Nièvre médiation numérique,,,,
3.145417,46.992214,58000,NEVERS,58,L'Inkub,rue du 13e de ligne,http://www.linkub.fr,,,,,
3.168047,46.994964,58000,NEVERS,58,Médiathèque Jean Jaurès,17 rue Jean Jaurès,http://mediatheque-agglo.nevers.fr/,Nièvre médiation numérique,,,,
3.182181,46.987077,58000,NEVERS,58,Mission Locale de Nevers - Sud Nivernais,5 allée de la Louée,missionlocale-nevers.fr,,,,,
3.143165,46.991958,58000,NEVERS,58,Onlineformapro,7 rue du 13ème de ligne,,,,,,
3.17496,46.994246,58000,NEVERS,58,Préfecture - Point d'Accueil Numérique,40 Rue de la Préfecture,,Nièvre médiation numérique,,,,
3.145417,46.992214,58000,NEVERS,58,RobotLab,rue du 13e de ligne,http://accessrobotique.fr/,,,,,
3.123688,46.986717,58000,NEVERS,58,Union départementale des Associations Familiales,47 Boulevard du Pré-Plantin,,Nièvre médiation numérique,,,,
